#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-12-01
#,End,date,2019-01-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-12-01,00:00:00,heat,heatOff,,Sleep,80,55,59.6,36,30.9,0,0,0,,59.6,36,,,,,
2018-12-01,00:05:00,heat,heatOff,,Sleep,80,55,59.6,36,30.9,0,0,0,,59.6,36,,,,,
2018-12-01,00:10:00,heat,heatOff,,Sleep,80,55,59.5,35,30.9,0,0,0,,59.5,35,,,,,
2018-12-01,00:15:00,heat,heatOff,,Sleep,80,55,59.4,35,30.9,0,0,0,,59.4,35,,,,,
2018-12-01,00:20:00,heat,heatOff,,Sleep,80,55,59.1,35,30.9,0,0,0,,59.1,35,,,,,
2018-12-01,00:25:00,heat,heatOff,,Sleep,80,55,59,35,30.9,0,0,0,,59,35,,,,,
2018-12-01,00:30:00,heat,heatOff,,Sleep,80,55,59,36,32.3,0,0,0,,59,36,,,,,
2018-12-01,00:35:00,heat,heatOff,,Sleep,80,55,59.1,36,32.3,0,0,0,,59.1,36,,,,,
2018-12-01,00:40:00,heat,heatOff,,Sleep,80,55,59.1,36,32.3,0,0,0,,59.1,36,,,,,
2018-12-01,00:45:00,heat,heatOff,,Sleep,80,55,59.1,35,32.3,0,0,0,,59.1,35,,,,,
2018-12-01,00:50:00,heat,heatOff,,Sleep,80,55,59,35,32.3,0,0,0,,59,35,,,,,
2018-12-01,00:55:00,heat,heatOff,,Sleep,80,55,58.9,35,32.3,0,0,0,,58.9,35,,,,,
2018-12-01,01:00:00,heat,heatOff,,Sleep,80,55,58.6,35,31.6,0,0,0,,58.6,35,,,,,
2018-12-01,01:05:00,heat,heatOff,,Sleep,80,55,58.6,35,31.6,0,0,0,,58.6,35,,,,,
2018-12-01,01:10:00,heat,heatOff,,Sleep,80,55,58.7,36,31.6,0,0,0,,58.7,36,,,,,
2018-12-01,01:15:00,heat,heatOff,,Sleep,80,55,58.7,36,31.6,0,0,0,,58.7,36,,,,,
2018-12-01,01:20:00,heat,heatOff,,Sleep,80,55,58.7,36,31.6,0,0,0,,58.7,36,,,,,
2018-12-01,01:25:00,heat,heatOff,,Sleep,80,55,58.5,35,31.6,0,0,0,,58.5,35,,,,,
2018-12-01,01:30:00,heat,heatOff,,Sleep,80,55,58.3,35,33.1,0,0,0,,58.3,35,,,,,
2018-12-01,01:35:00,heat,heatOff,,Sleep,80,55,58.1,35,33.1,0,0,0,,58.1,35,,,,,
2018-12-01,01:40:00,heat,heatOff,,Sleep,80,55,57.9,35,33.1,0,0,0,,57.9,35,,,,,
2018-12-01,01:45:00,heat,heatOff,,Sleep,80,55,57.9,36,33.1,0,0,0,,57.9,36,,,,,
2018-12-01,01:50:00,heat,heatOff,,Sleep,80,55,57.8,36,33.1,0,0,0,,57.8,36,,,,,
2018-12-01,01:55:00,heat,heatOff,,Sleep,80,55,57.9,36,33.1,0,0,0,,57.9,36,,,,,
2018-12-01,02:00:00,heat,heatOff,,Sleep,80,55,58.1,36,31.7,0,0,0,,58.1,36,,,,,
2018-12-01,02:05:00,heat,heatOff,,Sleep,80,55,58.1,36,31.7,0,0,0,,58.1,36,,,,,
2018-12-01,02:10:00,heat,heatOff,,Sleep,80,55,58.1,36,31.7,0,0,0,,58.1,36,,,,,
